iata,airport,city,state,country,lat,long
COO,Cadjehoun Airport,,,,6.357230186462402,2.384350061416626
OUA,Ouagadougou Airport,,,,12.3532,-1.51242
BOY,Bobo Dioulasso Airport,,,,11.160099983215332,-4.33096981048584
ACC,Kotoka International Airport,,,,5.605189800262451,-0.16678600013256073
TML,Tamale Airport,,,,9.55718994140625,-0.8632140159606934
\N,Wa Airport,,,,10.0826997756958,-2.507689952850342
NYI,Sunyani Airport,,,,7.361830234527588,-2.3287599086761475
TKD,Takoradi Airport,,,,4.896059989929199,-1.7747600078582764
ABJ,Port Bouet Airport,,,,5.261390209197998,-3.9262900352478027
BYK,Bouaké Airport,,,,7.738800048828125,-5.073669910430908
DJO,Daloa Airport,,,,6.792809963226318,-6.473189830780029
HGO,Korhogo Airport,,,,9.38718032837,-5.55666017532
MJC,Man Airport,,,,7.272069931030273,-7.58735990524292
SPY,San Pedro Airport,,,,4.746719837188721,-6.660820007324219
ASK,Yamoussoukro Airport,,,,6.9031701088,-5.36558008194
ABV,Nnamdi Azikiwe International Airport,,,,9.006790161132812,7.263169765472412
AKR,Akure Airport,,,,7.246739864349365,5.3010101318359375
BNI,Benin Airport,,,,6.316979885101318,5.5995001792907715
CBQ,Margaret Ekpo International Airport,,,,4.976019859313965,8.347200393676758
ENU,Akanu Ibiam International Airport,,,,6.474269866943359,7.561960220336914
\N,Gusau Airport,,,,12.1717,6.69611
IBA,Ibadan Airport,,,,7.362460136413574,3.97832989692688
ILR,Ilorin International Airport,,,,8.440210342407227,4.493919849395752
JOS,Yakubu Gowon Airport,,,,9.639829635620117,8.869050025939941
KAD,Kaduna Airport,,,,10.696000099182129,7.320109844207764
KAN,Mallam Aminu International Airport,,,,12.0476,8.52462
MIU,Maiduguri International Airport,,,,11.855299949645996,13.080900192260742
MDI,Makurdi Airport,,,,7.70388,8.61394
LOS,Murtala Muhammed International Airport,,,,6.5773701667785645,3.321160078048706
MXJ,Minna Airport,,,,9.652170181274414,6.462259769439697
PHC,Port Harcourt International Airport,,,,5.0154900550842285,6.94959020614624
SKO,Sadiq Abubakar III International Airport,,,,12.916299819946289,5.207190036773682
YOL,Yola Airport,,,,9.257550239562988,12.430399894714355
ZAR,Zaria Airport,,,,11.1302,7.68581
MFQ,Maradi Airport,,,,13.5024995803833,7.1267499923706055
NIM,Diori Hamani International Airport,,,,13.4815,2.18361
THZ,Tahoua Airport,,,,14.875699996948242,5.265359878540039
AJY,Mano Dayak International Airport,,,,16.965999603271484,8.000109672546387
\N,Dirkou Airport,,,,18.968700408935547,12.86870002746582
\N,Diffa Airport,,,,13.372900009155273,12.626700401306152
ZND,Zinder Airport,,,,13.779000282287598,8.983759880065918
MIR,Monastir Habib Bourguiba International Airport,,,,35.75809860229492,10.75469970703125
TUN,Tunis Carthage International Airport,,,,36.85100173950195,10.22719955444336
\N,Sidi Ahmed Air Base,,,,37.245398,9.79145
\N,Remada Air Base,,,,32.30619812011719,10.382100105285645
GAF,Gafsa Ksar International Airport,,,,34.422000885009766,8.822500228881836
GAE,Gabès Matmata International Airport,,,,33.87689971923828,10.103300094604492
\N,Borj El Amri Airport,,,,36.72129821777344,9.94314956665039
DJE,Djerba Zarzis International Airport,,,,33.875,10.775500297546387
EBM,El Borma Airport,,,,31.704299926757812,9.254619598388672
SFA,Sfax Thyna International Airport,,,,34.71799850463867,10.690999984741211
TOE,Tozeur Nefta International Airport,,,,33.939701080322266,8.110560417175293
LRL,Niamtougou International Airport,,,,9.767330169677734,1.091249942779541
LFW,Lomé-Tokoin Airport,,,,6.165609836578369,1.2545100450515747
